RRKM rate, sf=0.970, S*=9.59, E0=2.41 and Delta=2.41
   En (eV)    k (s-1)
         0          0
  0.012398          0
  0.024796          0
  0.037194          0
  0.049593          0
  0.061991          0
  0.074389          0
  0.086787          0
  0.099185          0
   0.11158          0
   0.12398          0
   0.13638          0
   0.14878          0
   0.16118          0
   0.17357          0
   0.18597          0
   0.19837          0
   0.21077          0
   0.22317          0
   0.23556          0
   0.24796          0
   0.26036          0
   0.27276          0
   0.28516          0
   0.29756          0
   0.30995          0
   0.32235          0
   0.33475          0
   0.34715          0
   0.35955          0
   0.37194          0
   0.38434          0
   0.39674          0
   0.40914          0
   0.42154          0
   0.43393          0
   0.44633          0
   0.45873          0
   0.47113          0
   0.48353          0
   0.49593          0
   0.50832          0
   0.52072          0
   0.53312          0
   0.54552          0
   0.55792          0
   0.57031          0
   0.58271          0
   0.59511          0
   0.60751          0
   0.61991          0
    0.6323          0
    0.6447          0
    0.6571          0
    0.6695          0
    0.6819          0
    0.6943          0
   0.70669          0
   0.71909          0
   0.73149          0
   0.74389          0
   0.75629          0
   0.76868          0
   0.78108          0
   0.79348          0
   0.80588          0
   0.81828          0
   0.83067          0
   0.84307          0
   0.85547          0
   0.86787          0
   0.88027          0
   0.89267          0
   0.90506          0
   0.91746          0
   0.92986          0
   0.94226          0
   0.95466          0
   0.96705          0
   0.97945          0
   0.99185          0
    1.0042          0
    1.0166          0
     1.029          0
    1.0414          0
    1.0538          0
    1.0662          0
    1.0786          0
     1.091          0
    1.1034          0
    1.1158          0
    1.1282          0
    1.1406          0
     1.153          0
    1.1654          0
    1.1778          0
    1.1902          0
    1.2026          0
     1.215          0
    1.2274          0
    1.2398          0
    1.2522          0
    1.2646          0
     1.277          0
    1.2894          0
    1.3018          0
    1.3142          0
    1.3266          0
     1.339          0
    1.3514          0
    1.3638          0
    1.3762          0
    1.3886          0
     1.401          0
    1.4134          0
    1.4258          0
    1.4382          0
    1.4506          0
     1.463          0
    1.4754          0
    1.4878          0
    1.5002          0
    1.5126          0
     1.525          0
    1.5374          0
    1.5498          0
    1.5622          0
    1.5746          0
     1.587          0
    1.5994          0
    1.6118          0
    1.6242          0
    1.6366          0
     1.649          0
    1.6613          0
    1.6737          0
    1.6861          0
    1.6985          0
    1.7109          0
    1.7233          0
    1.7357          0
    1.7481          0
    1.7605          0
    1.7729          0
    1.7853          0
    1.7977          0
    1.8101          0
    1.8225          0
    1.8349          0
    1.8473          0
    1.8597          0
    1.8721          0
    1.8845          0
    1.8969          0
    1.9093          0
    1.9217          0
    1.9341          0
    1.9465          0
    1.9589          0
    1.9713          0
    1.9837          0
    1.9961          0
    2.0085          0
    2.0209          0
    2.0333          0
    2.0457          0
    2.0581          0
    2.0705          0
    2.0829          0
    2.0953          0
    2.1077          0
    2.1201          0
    2.1325          0
    2.1449          0
    2.1573          0
    2.1697          0
    2.1821          0
    2.1945          0
    2.2069          0
    2.2193          0
    2.2317          0
    2.2441          0
    2.2565          0
    2.2689          0
    2.2813          0
    2.2937          0
    2.3061          0
    2.3185          0
    2.3308          0
    2.3432          0
    2.3556          0
     2.368          0
    2.3804          0
    2.3928          0
    2.4052          0
    2.4176 3.9196e-10
      2.43 1.0162e-09
    2.4424 2.9287e-09
    2.4548 6.3328e-09
    2.4672 1.2713e-08
    2.4796 2.4097e-08
     2.492 4.2558e-08
    2.5044  7.303e-08
    2.5168 1.2005e-07
    2.5292 1.9277e-07
    2.5416 3.0111e-07
     2.554 4.6105e-07
    2.5664 6.9224e-07
    2.5788 1.0219e-06
    2.5912 1.4863e-06
    2.6036 2.1315e-06
     2.616 3.0194e-06
    2.6284 4.2275e-06
    2.6408 5.8574e-06
    2.6532 8.0356e-06
    2.6656 1.0925e-05
     2.678 1.4725e-05
    2.6904 1.9692e-05
    2.7028 2.6136e-05
    2.7152 3.4447e-05
    2.7276   4.51e-05
      2.74 5.8678e-05
    2.7524 7.5889e-05
    2.7648 9.7597e-05
    2.7772 0.00012484
    2.7896 0.00015887
     2.802 0.00020119
    2.8144  0.0002536
    2.8268 0.00031823
    2.8392 0.00039763
    2.8516 0.00049479
     2.864 0.00061327
    2.8764 0.00075724
    2.8888 0.00093159
    2.9012  0.0011421
    2.9136  0.0013953
     2.926  0.0016992
    2.9384  0.0020627
    2.9508  0.0024962
    2.9632  0.0030121
    2.9756   0.003624
     2.988  0.0043482
    3.0003  0.0052032
    3.0127    0.00621
    3.0251  0.0073928
    3.0375  0.0087794
